company_id,car_num,activity,deal_num,VAL,abon,LTV
28946,4,229,5,22402,800,23202
28945,1,229,7,17684,0,17684
28942,0,229,4,9012,0,9012
28937,1,229,4,7108,399,7507
28934,1,229,2,4348,399,4747
28930,1,229,6,8668,399,9067
28929,0,880,4,1880,0,1880
28926,1,229,3,3905,0,3905
28925,1,229,3,3996,490,4486
28920,1,880,2,4348,0,4348
28917,1,880,3,3895,399,4294
28914,0,880,1,22000,0,22000
28907,1,229,3,3930,399,4329
28906,0,238,2,8696,0,8696
28899,0,880,1,1396,0,1396
28898,2,229,3,7860,980,8840
28897,1,229,3,3775,0,3775
28895,2,236,5,11796,0,11796
28894,15,233,2,8696,0,8696
28892,1,705,3,5348,399,5747
28888,2,229,2,7716,798,8514
28887,0,235,5,47650,1995,49645
28886,1,238,3,4848,399,5247
28882,8,236,5,17980,0,17980
28880,1,880,2,1848,0,1848
28878,1,229,3,3941,399,4340
28877,1,229,3,3930,399,4329
28876,2,229,3,6588,798,7386
28873,2,880,3,7790,798,8588
28870,1,880,3,2861,0,2861
28869,4,844,2,17392,1596,18988
28866,1,229,3,4588,490,5078
28864,1,229,6,9358,0,9358
28863,1,229,2,4348,399,4747
28862,1,880,2,4348,399,4747
28861,0,880,1,1133,0,1133
28859,1,229,2,4348,490,4838
28854,1,236,5,14796,0,14796
28852,1,229,3,3931,399,4330
28849,1,880,3,3929,399,4328
28845,2,229,2,8696,980,9676
28843,1,880,3,3756,399,4155
28841,3,229,3,14274,1197,15471
28839,2,229,5,15402,400,15802
28838,0,229,1,4080,0,4080
28837,0,238,2,10656,0,10656
28836,1,229,3,3861,490,4351
28835,1,705,2,4348,399,4747
28832,2,229,5,19716,798,20514
28829,1,611,2,4348,350,4698
28819,3,229,6,5124,1470,6594
28817,3,229,2,5544,0,5544
28814,1,880,3,3440,399,3839
28813,1,229,7,7709,399,8108
28807,2,238,2,8696,798,9494
28805,0,229,5,9530,0,9530
28803,0,880,6,8527,0,8527
28800,5,229,2,23200,1995,25195
28798,1,229,5,8368,0,8368
28797,1,229,3,3931,245,4176
28795,1,880,2,4348,399,4747
28792,1,880,3,3450,0,3450
28791,1,229,2,1428,490,1918
28789,0,880,1,8750,0,8750
28788,1,880,2,4348,399,4747
28786,0,229,5,13355,0,13355
28783,1,880,2,4570,0,4570
28782,1,240,2,4348,399,4747
28781,1,880,2,1500,0,1500
28780,1,229,3,3896,490,4386
28779,0,229,5,8385,0,8385
28770,1,229,3,3280,490,3770
28769,0,232,3,27520,0,27520
28767,1,229,2,1848,0,1848
28765,1,229,5,6358,0,6358
28758,1,229,3,3931,490,4421
28756,2,229,3,8496,798,9294
28754,1,239,7,104978,0,104978
28753,3,880,3,9148,0,9148
28752,1,880,6,18915,0,18915
28750,1,229,3,3896,490,4386
28748,1,229,2,1120,0,1120
28747,0,229,1,2858,0,2858
28740,2,229,3,7862,798,8660
28738,1,229,4,5458,399,5857
28737,1,229,1,3348,399,3747
28735,1,229,3,3931,399,4330
28734,14,240,2,47012,0,47012
28732,2,229,3,7882,490,8372
28731,0,238,1,12600,0,12600
28730,0,229,2,3000,0,3000
28729,2,240,18,66760,0,66760
28728,0,230,4,6463,0,6463
28727,2,231,6,9551,980,10531
28724,1,229,3,3424,399,3823
28720,0,230,2,9250,0,9250
28719,2,229,3,7862,798,8660
28717,5,229,3,19655,1750,21405
28714,1,229,3,3540,399,3939
28711,4,229,4,7392,1197,8589
28705,1,229,2,4348,399,4747
28703,2,233,3,9176,0,9176
28700,1,229,3,3948,399,4347
28696,2,229,3,3540,490,4030
28695,1,229,3,3931,490,4421
28692,1,229,3,5630,399,6029
28690,1,229,2,1848,0,1848
28689,1,229,3,3900,399,4299
28687,1,880,3,3896,490,4386
28686,1,229,3,3890,399,4289
28685,1,880,2,4348,399,4747
28682,4,229,2,6696,1960,8656
28681,1,229,5,9358,490,9848
28680,1,229,6,10858,399,11257
28679,1,240,3,3890,0,3890
28676,1,880,3,3931,490,4421
28675,1,229,2,4348,399,4747
28673,1,229,9,16958,490,17448
28672,1,229,7,42196,1960,44156
28671,1,229,3,3500,490,3990
28668,1,229,3,3931,200,4131
28666,1,229,3,3931,490,4421
28665,1,229,3,3896,490,4386
28664,1,229,3,3931,399,4330
28663,1,229,3,4098,490,4588
28662,1,229,6,8958,490,9448
28661,1,236,3,3861,399,4260
28660,7,229,3,30786,3430,34216
28658,1,880,3,3941,490,4431
28656,1,238,6,8358,399,8757
28652,1,229,8,19650,300,19950
28646,1,229,3,4848,399,5247
28642,2,229,6,14756,980,15736
28639,1,229,3,3931,399,4330
28638,1,880,3,4703,490,5193
28635,1,229,8,13091,399,13490
28633,1,880,3,3931,450,4381
28631,0,229,14,30518,0,30518
28628,1,880,3,2498,490,2988
28624,1,229,3,3931,490,4421
28623,10,229,4,38980,490,39470
28621,1,880,3,4441,399,4840
28620,1,229,3,3931,399,4330
28618,2,229,3,3905,490,4395
28617,1,229,3,2508,100,2608
28616,1,229,3,3931,490,4421
28615,5,229,3,29240,1995,31235
28611,1,880,3,4848,399,5247
28609,0,880,2,7325,0,7325
28607,1,229,3,3931,399,4330
28605,1,880,5,5503,490,5993
28604,1,229,6,9083,490,9573
28601,1,240,3,3931,399,4330
28600,1,229,2,4348,490,4838
28599,3,229,3,11670,1470,13140
28597,1,229,3,2498,490,2988
28594,1,233,6,8903,0,8903
28591,1,229,2,4348,490,4838
28590,1,880,3,3008,490,3498
28588,1,229,3,3931,399,4330
28579,2,880,4,10116,798,10914
28576,1,229,3,3941,490,4431
28575,1,229,2,4348,399,4747
28572,1,229,3,4588,490,5078
28568,1,229,2,4291,490,4781
28566,2,239,4,7580,0,7580
28565,1,236,3,3896,490,4386
28564,2,229,3,2498,0,2498
28562,6,229,3,23586,2940,26526
28561,0,880,1,1990,0,1990
28560,1,240,3,4398,490,4888
28557,1,880,3,3931,490,4421
28556,1,229,3,3931,399,4330
28555,3,234,7,16044,798,16842
28553,1,880,2,4348,490,4838
28552,1,880,3,4358,490,4848
28551,1,229,3,3931,490,4421
28548,1,229,4,8696,399,9095
28544,1,880,2,1500,350,1850
28543,7,236,6,28686,1960,30646
28539,1,229,5,8580,200,8780
28537,2,229,2,8442,798,9240
28535,1,229,4,3486,0,3486
28534,1,880,2,1500,350,1850
28533,2,229,6,7862,399,8261
28532,0,232,7,59560,0,59560
28529,1,229,3,4396,490,4886
28522,1,229,2,4348,399,4747
28520,3,236,6,43320,0,43320
28519,1,229,3,4848,490,5338
28512,3,229,3,11370,1197,12567
28511,2,229,3,7862,980,8842
28510,1,229,3,4258,490,4748
28507,1,705,3,4848,399,5247
28506,1,229,8,12716,399,13115
28504,1,229,2,2600,490,3090
28502,0,235,3,17200,0,17200
28501,1,238,2,3070,490,3560
28500,1,239,3,4386,399,4785
28497,0,230,1,1600,0,1600
28496,0,880,1,3500,0,3500
28491,3,229,6,21528,0,21528
28490,1,229,3,3931,490,4421
28487,1,229,3,3896,399,4295
28486,1,880,3,4441,490,4931
28484,1,880,3,3784,490,4274
28482,40,229,3,147920,5880,153800
28481,1,880,2,4348,399,4747
28480,4,229,2,15432,1596,17028
28479,1,880,2,4348,490,4838
28478,1,229,3,3931,399,4330
28477,1,229,3,4548,490,5038
28476,1,880,3,3931,399,4330
28475,1,880,3,3931,399,4330
28474,1,880,3,3931,399,4330
28473,1,229,3,4431,399,4830
28472,1,229,2,4348,399,4747
28471,0,229,6,24240,0,24240
28470,1,229,5,9858,399,10257
28469,0,705,1,23700,0,23700
28468,1,229,5,8868,490,9358
28466,1,229,3,4431,399,4830
28465,3,229,11,58371,0,58371
28464,2,229,3,8862,798,9660
28463,1,230,3,2900,490,3390
28462,1,229,7,10208,490,10698
28460,1,229,2,4348,490,4838
28458,1,880,3,4431,490,4921
28457,1,236,3,4208,490,4698
28456,1,880,3,2320,490,2810
28453,0,232,8,47085,0,47085
28452,1,229,2,4408,399,4807
28446,5,229,3,22220,2950,25170
28442,4,229,3,17584,1960,19544
28440,3,234,5,8696,490,9186
28438,2,229,11,36542,490,37032
28436,1,229,2,4348,490,4838
28435,1,229,3,4389,490,4879
28431,1,229,4,4288,399,4687
28430,1,229,3,4448,399,4847
28427,1,229,3,4431,399,4830
28426,2,880,8,5361,490,5851
28425,1,229,3,4361,490,4851
28424,1,229,3,4390,450,4840
28423,1,856,2,4348,399,4747
28422,0,229,9,42266,0,42266
28419,1,880,3,4400,490,4890
28418,1,231,2,3858,399,4257
28414,1,229,3,4431,399,4830
28413,1,229,3,4431,490,4921
28410,1,229,2,8696,980,9676
28409,1,229,4,5032,490,5522
28407,1,229,2,4348,490,4838
28406,1,235,3,5098,490,5588
28405,4,229,2,17392,1596,18988
28403,1,229,3,4361,399,4760
28402,1,880,4,7650,490,8140
28401,1,880,3,4431,399,4830
28400,1,229,3,4389,490,4879
28399,1,229,3,4431,490,4921
28398,1,705,3,4578,399,4977
28397,2,229,5,8052,980,9032
28395,1,880,3,4023,399,4422
28394,7,229,3,26467,2793,29260
28393,1,880,3,4023,399,4422
28391,2,230,3,8476,980,9456
28390,1,229,3,4431,490,4921
28388,1,705,2,4348,399,4747
28387,1,232,18,53578,399,53977
28385,1,229,1,3191,490,3681
28384,1,229,2,3531,399,3930
28381,3,229,1,10044,1470,11514
28379,1,880,1,2858,245,3103
28376,8,229,1,25528,3920,29448
28374,0,610,3,24542,0,24542
28373,4,229,8,39102,1960,41062
28372,1,229,3,4431,399,4830
28371,0,230,1,8250,0,8250
28369,2,238,1,6696,0,6696
28368,1,880,4,7587,399,7986
28367,2,229,3,9062,490,9552
28366,0,229,1,16500,0,16500
28362,2,880,1,4074,0,4074
28360,1,880,2,3531,490,4021
28357,1,880,2,3461,490,3951
28354,1,229,1,3191,399,3590
28353,1,229,2,4348,200,4548
28351,1,880,1,3348,0,3348
28350,1,238,3,4781,399,5180
28349,2,236,2,10796,980,11776
28348,1,880,2,3198,490,3688
28346,1,229,3,4373,490,4863
28338,1,229,1,3348,475,3823
28337,1,611,1,3348,399,3747
28336,0,229,2,3345,0,3345
28333,0,232,3,20490,0,20490
28332,1,229,3,4431,490,4921
28331,0,229,9,25780,0,25780
28329,1,880,1,3191,490,3681
28324,1,229,1,3348,399,3747
28323,0,229,2,8495,0,8495
28322,1,229,1,3348,399,3747
28320,1,229,1,3348,399,3747
28313,1,229,1,3348,1470,4818
28312,2,229,1,6696,798,7494
28309,0,880,7,14040,0,14040
28307,1,229,3,4431,490,4921
28305,2,233,3,9696,980,10676
28303,1,229,3,4431,399,4830
28301,1,229,1,2433,490,2923
28300,2,880,1,5902,399,6301
28299,0,230,18,245566,0,245566
28296,1,229,3,4431,399,4830
28295,1,229,8,12468,0,12468
28293,0,610,1,20670,0,20670
28290,1,229,2,3531,399,3930
28288,1,229,3,4848,399,5247
28285,3,229,5,12864,1470,14334
28282,1,856,6,23948,2100,26048
28281,1,880,1,3348,490,3838
28280,1,229,3,4148,245,4393
28279,1,229,13,17173,0,17173
28278,1,229,3,4361,399,4760
28277,1,238,1,1470,399,1869
28274,1,229,3,10800,0,10800
28273,2,880,3,7696,980,8676
28268,0,229,4,7600,0,7600
28267,1,229,1,2858,399,3257
28265,9,693,6,18672,3311,21983
28261,1,234,3,4500,490,4990
28259,1,229,3,4748,200,4948
28256,1,229,3,4431,490,4921
28253,1,880,1,8696,490,9186
28250,1,880,2,3688,245,3933
28249,0,880,2,18500,0,18500
28248,3,236,3,13764,600,14364
28246,0,229,2,9600,0,9600
28241,1,229,3,3658,399,4057
28240,2,880,3,8396,490,8886
28237,0,880,3,76500,0,76500
28230,1,880,3,4588,490,5078
28229,10,233,3,33936,1750,35686
28228,2,233,2,8696,798,9494
28222,3,229,1,11432,1916,13348
28221,1,229,3,4588,490,5078
28220,0,229,7,13583,0,13583
28219,1,229,2,3656,490,4146
28218,1,880,1,8278,0,8278
28217,1,229,3,4588,245,4833
28216,0,235,7,33228,0,33228
28213,1,229,3,4588,490,5078
28212,0,850,5,11896,798,12694
28209,0,229,2,14896,0,14896
28206,1,229,1,2858,399,3257
28201,3,229,1,7299,1197,8496
28200,0,880,1,1300,0,1300
28198,0,239,3,13620,0,13620
28197,1,229,4,4612,399,5011
28196,5,229,2,21740,0,21740
28195,1,229,2,1848,0,1848
28193,1,231,1,3348,490,3838
28191,1,880,1,3348,200,3548
28190,6,229,20,86077,980,87057
28188,3,238,8,12836,245,13081
28187,1,229,4,4758,399,5157
28186,1,229,2,4858,490,5348
28183,2,229,13,55186,490,55676
28182,5,229,12,18148,1960,20108
28181,1,229,2,4348,490,4838
28180,1,693,2,4348,490,4838
28177,0,232,13,44280,0,44280
28176,7,229,6,28902,1995,30897
28175,1,229,1,3348,490,3838
28174,0,229,4,36850,0,36850
28173,3,236,6,27736,1470,29206
28172,0,233,1,20850,0,20850
28171,1,880,2,4348,399,4747
28170,2,229,2,7716,399,8115
28168,2,229,3,4848,990,5838
28167,1,233,1,17000,0,17000
28163,1,229,1,3348,350,3698
28162,2,235,1,6696,980,7676
28160,1,880,1,3348,200,3548
28158,1,229,6,11698,490,12188
28156,0,880,1,1133,0,1133
28154,8,238,12,40612,490,41102
28153,0,229,2,4868,0,4868
28152,1,229,5,10368,399,10767
28149,4,230,5,6307,800,7107
28147,0,229,4,7055,0,7055
28146,2,229,2,8796,490,9286
28143,2,229,3,7562,399,7961
28139,1,236,7,6975,490,7465
28138,4,229,3,3500,1197,4697
28135,0,229,2,9250,0,9250
28132,0,880,1,500,0,500
28128,1,229,4,4698,490,5188
28123,0,229,5,5755,0,5755
28117,1,229,5,10358,490,10848
28116,0,231,1,2500,0,2500
28114,2,229,5,11868,1100,12968
28112,1,229,2,2638,350,2988
28111,4,229,5,22380,980,23360
28110,0,233,2,4000,0,4000
28107,1,880,1,3348,399,3747
28105,1,229,1,3348,490,3838
28103,1,229,3,4588,399,4987
28097,0,229,2,9250,0,9250
28093,1,229,2,3109,490,3599
28092,1,880,3,4848,490,5338
28091,1,880,2,4348,399,4747
28090,2,844,3,10800,0,10800
28088,1,229,7,11042,490,11532
28086,2,880,7,29356,980,30336
28083,1,229,2,1848,399,2247
28082,2,239,9,16308,399,16707
28081,1,229,2,4348,1960,6308
28076,1,880,2,3688,490,4178
28074,0,844,1,17300,0,17300
28073,0,232,1,15000,0,15000
28070,3,238,4,18232,1470,19702
28065,1,229,5,8858,399,9257
28059,3,705,7,13120,1470,14590
28058,1,229,3,4588,399,4987
28055,0,880,1,1133,0,1133
28054,1,230,3,3728,490,4218
28053,1,693,6,7968,490,8458
28051,2,229,2,8696,980,9676
28050,1,856,5,7300,399,7699
28049,3,874,6,15294,490,15784
28048,3,229,6,12544,245,12789
28047,1,687,6,6540,399,6939
28046,3,240,12,24144,0,24144
28045,1,229,2,4348,490,4838
28043,0,229,1,1133,0,1133
28041,1,229,4,4807,399,5206
28040,5,229,2,20790,1960,22750
28038,0,229,1,1133,0,1133
28037,1,880,1,1470,490,1960
28033,1,229,7,11168,0,11168
28030,0,229,1,1133,0,1133
28029,4,229,4,20182,1960,22142
28027,4,880,6,14264,980,15244
28026,0,236,9,48932,0,48932
28024,1,617,3,4588,449,5037
28023,1,230,5,7600,399,7999
28021,0,229,5,7868,399,8267
28018,0,236,7,10180,0,10180
28016,0,232,11,36590,0,36590
28014,0,235,17,77779,0,77779
28013,1,229,4,2366,399,2765
28012,2,229,3,7266,980,8246
28011,1,229,4,6000,490,6490
28010,1,229,2,4408,490,4898
28009,0,229,6,8988,0,8988
28008,14,229,4,32864,2450,35314
28007,5,229,5,18425,0,18425
28004,4,880,9,28886,0,28886
28003,2,238,2,8316,798,9114
27998,2,234,6,18352,490,18842
27997,1,239,2,19232,399,19631
27996,3,229,3,10399,1197,11596
27991,2,693,4,8696,798,9494
27990,1,229,2,4348,399,4747
27984,0,229,2,2700,0,2700
27982,0,229,7,10706,0,10706
27981,1,229,2,1000,399,1399
27980,1,229,5,15368,399,15767
27979,12,856,10,74796,4788,79584
27978,0,232,1,1750,0,1750
27975,0,229,2,5125,0,5125
27974,0,229,7,32318,0,32318
27973,1,880,3,4848,399,5247
27972,0,231,3,3848,2450,6298
27971,1,880,2,3170,200,3370
27969,1,611,2,4570,399,4969
27966,4,844,12,26516,399,26915
27965,1,239,3,4470,100,4570
27963,1,234,5,5695,399,6094
27961,5,229,7,16544,1470,18014
27960,2,239,2,4348,399,4747
27959,1,236,6,7158,490,7648
27956,0,229,1,8250,0,8250
27952,1,229,2,9206,0,9206
27950,1,880,3,3098,399,3497
27945,1,236,8,13655,0,13655
27941,0,880,5,19330,0,19330
27939,2,229,8,18176,980,19156
27938,1,229,1,3348,490,3838
27937,3,229,3,4500,1197,5697
27934,0,880,1,900,0,900
27933,1,229,3,2648,490,3138
27931,1,229,3,4848,399,5247
27929,3,229,8,18784,798,19582
27925,1,240,1,1000,450,1450
27922,1,880,2,4348,490,4838
27921,0,880,10,10537,0,10537
27920,3,880,34,62979,399,63378
27919,6,611,8,37784,1200,38984
27918,0,229,3,6800,0,6800
27917,1,880,3,4588,399,4987
27916,0,229,11,62249,0,62249
27915,3,238,8,27614,1197,28811
27914,3,229,7,68640,900,69540
27913,0,880,1,2500,0,2500
27911,1,229,1,3100,490,3590
27910,0,231,5,5613,0,5613
27907,1,693,2,3600,399,3999
27905,1,229,5,9568,490,10058
27903,0,611,3,26388,0,26388
27902,1,880,3,4788,399,5187
27898,1,693,3,-152,245,93
27897,0,229,5,7855,0,7855
27896,1,229,2,3858,175,4033
27894,7,880,2,23800,700,24500
27893,3,234,3,11544,100,11644
27892,0,229,5,8443,0,8443
27888,6,229,4,7726,2250,9976
27887,0,229,13,22438,0,22438
27885,0,880,5,8698,0,8698
27884,8,236,18,90724,3920,94644
27883,1,880,3,4748,490,5238
27882,2,229,4,8696,798,9494
27880,1,229,2,5838,490,6328
27878,3,234,3,13764,1197,14961
27876,0,880,6,31459,0,31459
27874,1,229,4,5776,490,6266
27870,2,229,8,9606,490,10096
27869,1,229,2,4348,490,4838
27867,3,229,10,13596,490,14086
27865,0,238,11,17443,0,17443
27860,1,229,10,19810,490,20300
27858,0,230,1,12950,0,12950
27856,0,880,2,6700,0,6700
27853,0,229,10,31850,0,31850
27851,2,229,8,23672,798,24470
27848,1,844,2,4898,490,5388
27847,1,229,13,47026,1099,48125
27846,4,239,6,10858,399,11257
27840,2,231,2,3848,399,4247
27837,1,229,2,1848,490,2338
27827,1,229,1,3348,490,3838
27824,1,880,4,4348,490,4838
27821,36,693,9,14061,5187,19248
27820,1,229,3,4898,245,5143
27819,1,880,2,1848,490,2338
27812,0,880,5,7685,0,7685
27811,1,235,4,6400,490,6890
27810,1,880,2,4348,490,4838
27807,2,229,4,14716,980,15696
27806,1,234,3,4588,0,4588
27804,1,880,4,5148,399,5547
27801,1,229,2,4348,490,4838
27800,0,687,5,19520,0,19520
27798,1,229,6,13058,490,13548
27797,0,230,7,15450,0,15450
27796,2,235,3,9696,980,10676
27792,1,229,6,8858,450,9308
27791,4,229,11,27517,245,27762
27790,0,229,4,5200,0,5200
27789,6,229,3,12714,2940,15654
27788,3,880,3,3318,490,3808
27784,3,229,6,28296,1470,29766
27783,1,231,2,3433,490,3923
27781,0,229,2,5916,798,6714
27780,1,229,10,16240,0,16240
27778,2,229,2,5200,980,6180
27777,0,610,3,17100,0,17100
27776,0,880,2,5200,0,5200
27775,0,229,1,1133,0,1133
27774,3,238,9,27516,798,28314
27773,1,229,6,10348,350,10698
27768,0,229,6,8988,0,8988
27767,1,229,6,8858,490,9348
27766,0,880,4,19290,0,19290
27765,0,880,1,2500,0,2500
27764,2,230,4,3696,798,4494
27763,1,239,4,5528,490,6018
27762,2,229,21,31645,490,32135
27752,1,229,3,4648,399,5047
27749,0,229,1,1133,0,1133
27747,0,233,1,22600,0,22600
27745,2,229,12,24223,399,24622
27744,2,240,6,14000,980,14980
27742,0,229,8,18493,0,18493
27735,12,229,21,127616,5880,133496
27734,2,693,14,23316,490,23806
27727,1,229,4,5448,399,5847
27726,0,229,8,20390,0,20390
27725,9,233,17,116592,490,117082
27723,0,229,3,4578,490,5068
27722,0,232,19,124055,0,124055
27721,1,238,5,7443,399,7842
27719,1,229,7,9068,399,9467
27717,0,229,5,8410,0,8410
27716,0,229,6,5858,0,5858
27712,1,229,7,11483,399,11882
27708,4,229,5,40432,1960,42392
27705,2,229,8,12377,450,12827
27699,0,229,4,8500,0,8500
27697,1,239,7,8458,490,8948
27696,1,229,6,10358,490,10848
27695,0,229,1,1133,0,1133
27694,0,235,10,11828,490,12318
27692,2,229,5,8580,399,8979
27690,1,233,5,9120,490,9610
27689,8,687,3,38784,3920,42704
27688,1,238,3,3673,490,4163
27680,5,229,3,23290,1470,24760
27674,0,229,6,71148,0,71148
27672,0,229,1,14300,0,14300
27671,4,236,13,114515,1960,116475
27669,2,611,3,9696,798,10494
27665,0,229,1,1133,0,1133
27664,4,611,7,18708,1197,19905
27663,0,880,1,3500,0,3500
27661,0,880,1,1133,0,1133
27659,0,880,1,2282,0,2282
27658,1,880,2,3858,490,4348
27653,2,229,8,25728,245,25973
27652,2,231,2,8696,980,9676
27651,0,880,1,2700,0,2700
27648,2,229,1,2848,399,3247
27644,4,868,12,34796,980,35776
27637,2,844,4,8696,399,9095
27635,0,236,3,4358,0,4358
27634,2,235,3,15658,490,16148
27633,0,229,2,4348,490,4838
27631,1,229,2,4348,399,4747
27627,0,229,9,36820,0,36820
27625,3,238,5,20100,1470,21570
27622,0,229,8,22800,0,22800
27621,2,880,7,12296,980,13276
27620,1,229,3,5610,0,5610
27618,0,230,7,37776,0,37776
27613,0,880,1,500,0,500
27609,1,236,5,8858,490,9348
27601,2,880,4,8363,1470,9833
27593,0,862,2,8696,0,8696
27588,1,693,7,6403,490,6893
27587,1,229,5,1858,2940,4798
27586,1,229,3,4498,399,4897
27584,3,229,3,12624,4410,17034
27582,0,229,1,5100,0,5100
27579,2,234,6,18736,798,19534
27576,1,229,3,4248,490,4738
27571,2,239,5,19180,798,19978
27566,3,229,6,19600,490,20090
27565,3,880,7,12729,1470,14199
27564,1,229,4,6348,490,6838
27562,1,229,2,5398,490,5888
27558,1,880,2,4348,490,4838
27553,0,229,5,8458,490,8948
27552,12,229,3,45036,5880,50916
27551,1,229,2,3348,399,3747
27545,4,229,5,37472,1960,39432
27542,1,617,3,4703,490,5193
27541,0,880,2,2330,0,2330
27540,0,229,5,7300,490,7790
27539,1,880,4,2513,350,2863
27536,0,229,3,6800,0,6800
27534,4,229,8,55232,1596,56828
27533,1,240,2,3800,399,4199
27530,1,229,7,9458,490,9948
27526,0,236,5,22168,0,22168
27524,0,229,7,11243,0,11243
27523,1,617,2,4348,490,4838
27522,1,693,2,4348,490,4838
27521,0,229,1,3010,0,3010
27519,0,229,2,2750,490,3240
27518,1,229,5,7858,4788,12646
27514,10,229,9,99596,490,100086
27513,0,880,1,1133,0,1133
27512,0,229,2,5010,0,5010
27511,1,611,1,2600,0,2600
27510,1,229,2,4348,245,4593
27509,0,229,1,4250,0,4250
27508,1,233,5,9200,490,9690
27503,1,229,3,3933,490,4423
27500,2,229,15,47292,1596,48888
27499,1,229,5,9368,399,9767
27493,0,229,4,7933,0,7933
27492,1,880,2,3400,490,3890
27491,0,880,2,6700,0,6700
27489,1,229,3,5348,399,5747
27488,0,229,5,7955,0,7955
27486,0,229,5,7855,0,7855
27474,0,229,7,11166,0,11166
27473,0,229,5,8610,0,8610
27470,0,238,4,34064,0,34064
27467,8,229,6,79824,3920,83744
27459,1,880,2,4348,399,4747
27458,1,880,3,2870,490,3360
27453,5,239,4,5990,2450,8440
27452,1,229,7,8068,490,8558
27449,0,229,2,5200,0,5200
27446,0,229,1,1133,0,1133
27444,1,705,3,5348,245,5593
27443,2,229,6,12200,980,13180
27442,0,232,19,7820,0,7820
27441,6,233,5,68562,2450,71012
27440,4,233,2,14112,1200,15312
27432,1,229,2,2990,0,2990
27428,1,838,3,2958,399,3357
27423,0,229,5,8380,0,8380
27421,0,229,6,9155,0,9155
27420,1,231,2,4348,490,4838
27417,1,236,29,524344,490,524834
27414,2,235,5,10976,980,11956
27413,3,838,2,6774,600,7374
27412,1,838,2,2258,490,2748
27411,0,229,8,6687,0,6687
27410,1,880,2,3848,490,4338
27408,2,838,2,4516,980,5496
27405,2,239,6,6380,0,6380
27404,0,229,1,3000,0,3000
27401,3,838,6,11774,1197,12971
27399,1,838,2,2258,490,2748
27398,12,229,5,103316,4788,108104
27397,1,838,2,2258,490,2748
